document_id,clean_text,sentiment
0,imagin video game shoot bad guy hardwar old everyth kind slow focu oppon set easi instal hack give invinc autoaim come slowli shout open weapon fire three four bullet run shoot anyth anyway use sniper explos trap kind cant even hit theyr next wield knife tri fight decent manner yet avatar move like year old man even autoaim still suck somehow get mani separ level noth make sen get big cinemat take cinemat k whatev feel like slow motionthat friend experi watch jw style peopl applaud first movi turn dement caricatur fight scene ridicul bad action charact make sen world describ make sen even tongueincheek refer matrix dont hit know enjoy film your make feel old film three hour irrelevanceand among peopl cant understand rate film anyth bore watch end credit scene destroy littl joy might kept watch thisbottom line mani talent peopl work film board imagin wors outcom even funni sad,negative
1,tabl intern crminal brotherhood condemn john wick empow marqui deal manag new york continental hotel mayb mayb way outa expect imdb full peopl salut best john wick yet masterpiec best action movi ever etc view differ must start give credit due product design cinematographi action choreographi direct first rate deserv much better film film deserv much better script thisth stori fine quit good even buri industri quantiti action defi belief everbodi resist trauma complet absenc polic big two let forget endless success pair heavi come nowher stop wick gunand even scriot deserv better actor keanu reev fair charact first film reduc mere cardboard cutout reev genuin like perform doesnt even play cardboard well herethi beauti craft drivel craft reev central perform averag,positive
2,first three john wick film came fairli quick success five year first third chapter film tri top one term wild set piec becam bit much action rapidli becom frenet overthetop parabellum part three enoughi hope four year parabellum fourth entri franchis given big enough breather might abl find new appreci excess mayhem anyth found chapter even tiresom fight scene technic excel simpli dont know quit theyr even ridicul ever wick establish semimyth baba yaga seemingli impervi pain injuri mean charact never real peril gener zero jeopardi excit anyth relentless action scene result boredom mindnumbingli repetit farfetch whop hour minut runtim doesnt helpdirector chad stahelski push plausibl way beyond break point protract mele amidst traffic around arc de triomph somehow fail attract attent pari gendarmeri even dumb scene film pack dumb scene see nightclub revel continu danc peopl shot axe death around final act duel john blind warrior cain donni yen take place outsid basilica sacrécoeur de montmartr dawn singl tourist passerbi alert author occurring known enjoy comicbook action film arent exactli ground realiti john wick seem take place altern univers none rule appli sinc littl see film believ definit dont swallow idea john wick actual dead end although sincer hope isthos claim best action film ever made clearli never seen raid earli john woo film night come u ongbak born fight eastern condor line duti iv well get idea,neutral
3,john wick movi sort fun sen unintellig violent nonsens pretend movi someth entertain dumb nonsens sometim first two franchis decent okay regard last one one howev much dumbthi movi almost hour long oh boy feel everi minut seen previou instal seen one like bad video game repeat thing cours enemi th time also post credit scene simpli dumb reason stil around itth act also horrid go buy good act noth posit say movi putrifi mani movi late contemporari action movi bad much elsei give gener want watch dont go watch first one mayb second one instead also highli stupid least decent entertain,negative
4,went cinema great expect admit photographi gorgeou locat wonder action sequenc well coordin howev feel true ident franchis complet lost fourth chapter first two movi best stunt look credibl parabellum start drop qualiti still solid flick john suddenli becam superhero take hit fall everi height keep go like noth happen chad stahelski direct first movi expect success product compani order sequel realli know develop saga one biggest action franchis tv show air futur mayb th entri alreadi approv got definit hand wick basic becam parodi scene forc comed moment quit deliv perspect realli know invent anymor realli hope futur screenwrit director come better idea seri potenti show previou chapter case felt pointless purposeless,positive
5,rave movi felt lack decent storylin hour min fight remain minut actingth usual far long fight scene usual mma move get enemi head leg reload gun shoot headfor least hour long could much shorter storylin weak long gap john wick surpris written betteri also idea review minimum go charactersy,negative
6,fourth instal success franchis keanu reev wearili drag setpiec setpiec say littl surviv ridicul setup final achiev nothingth act write john wick chapter inde worst aspect film exagger runtim almost three hour doesnt helptri rememb john wick motiv thing exactli actual escpeci one addit lack motiv chapter remark retcon sen john wick could end hunt person way earlier thu make least last two instal redundantther plenti action sure get unrealist youll situat suspens disbelief say byeby especi contrast grow ridicul action john wick decreas vigourth plot toddler level plot hole contriv realli distract ye even action nobrain like keanu reev mayb ten line dialogu whole movi marqui nonsens charact like donni yen cain charact appear especi cain case your suppos emot he basic john wick brother anoth mother never knew oh wellthi definit dumb movi dumb peopl want enjoy nice shot overthetop action realli nice love keanu reev jam need bare minimum consist structur might feel cheat,positive
7,opinion far worst movi franchis way top everybodi seem magic jacket stop bulletsaudi love dog third one lazili copi one also didnt bother real cool scene itim happi made john wick sinc everi movi get wors wors one alreadi bad regret spend money see itpeopl shoot die center pari polic doesnt seem carejohn wick get shot fall great height etc without issu,negative
8,much rate repetit tire inauthent fight choreographi hr straight unnatur gener one liner fill script deep drama whatsoev bland perpetu kill till one numb aw fake seem blood effect bland clich action heroal character john wick movi keep get shallow everi sequel littl soul first two dead buri dont get hype john wick becom like gener action b movi clich script charact forget unlik uncharismat addit black guy dog dull getsbeauti cinematographi though love scene except cgi one point guess,negative
9,american action flick releas day poor screenplay overus computergener imageri john wick franchis one except along mission imposs franchis keep get better everi entri hollywood make action masterpiec marvel greater demand that get shameth stunt choreographi beyond impress everi artist involv job perfect donni yen perform unbeliev fight great also move like blind man keanu reev also impress keanu john wick although scene enemi stand wait turn attack easi overlook everyth el greati cant fathom anyon could choos watch antman john wick fastpac choreographi stunt mesmer brutal action break unbeliev hard explain see watch computergener superhero fli around wit reev yen engag genuin thrill fight,positive
10,half review gush action wow wow complet awe multipl time tear laugh unbeliev amaz fight scene noth new john wick seri far away best action entir seriesim action junki repeatedli disappoint action movi terribl fight scene fill shaki cam quick cut closeup shot look snake eye mortal kombat watch john wick movi feel spoil also baffl action movi cant learn fight fastpac yet complet clear easi followther everi kind fight imagin mani weapon style chase vehicl anim everyth much creativ kill amaz combin weaponri fight style pistolsword combo faveth music awesom usual mayb even step enhanc everi action scene cinematographi pristin mani beauti shot mani mesmer locat action stylist beautifulther coupl scene shot creativ way ive never seen one overhead shot onetak couldnt believ take movi new level mani scene feel like theyr video game brought life numer time feel like vr game pistol whipdonni yen awesom end paragraphabout hour nearli hour movi felt like experienc enough action amazing entir movi state ecstasi look like best seri start wonder would landmark action flick mayb fault set expect high midmovi second half flaw though still awesometh subplot tracker doesnt seem consequenti dog attack alreadi done better hall berri parabellum issu parabellum pop like overdo sometim damag take exampl instead get hit one car get hit three car that mild exampl also fairli anticlimacticeven flaw blast movi definit see least theater see premium screen must loudest speaker biggest screen trust meedit itch go sinc open night wasnt abl wait day second view still felt flaw didnt care action incred least four alltim favorit action scene want watch scene hundr timesit definit perfect still consid action landmark last time said mad max furi road everi action movi learn updat rate star view open thursday ultrascreen ultrascreen superscreen reissu imax,positive
11,time hybrid comic bookvideo game stupid plot wors averag act fight scene poorli done dont mind go bathroom dont get wrong love john wick thought ok came show imagin stop show artist creativ mere clown look buckit complet without valu got instead photographi beauti dog hero rest worthless save money time,negative
12,need hr min action movi one ye action good repeat mani time becom bore hundr assassin kill one man answer possibl movi seri mani time could dog man kill wick mani assassin could would tabl head get cain kill wick know wont challeng head duel rule assign head first time ever movi wtf head select replac select blind man wick stand side drop wouldnt get shot think everyon knew wick didnt shoot last round except stupid head bad guy action movi fantasi,negative
